Incoming message from Client is : 55.0	0.0	0.0
Outgoing message to Client is : 55.0	0.16049907265815322	0.1	

Incoming message from Client is : 55.0	0.16049907265815322	0.1	
Outgoing message to Client is : 54.079941621704855	0.3191719509020823	0.2	

Incoming message from Client is : 54.079941621704855	0.3191719509020823	0.2	
Outgoing message to Client is : 52.250293495514576	0.47409223058637584	0.30000000000000004	

Incoming message from Client is : 52.250293495514576	0.47409223058637584	0.30000000000000004	
Outgoing message to Client is : 49.532567332917516	0.6231483642489289	0.4	

Incoming message from Client is : 49.532567332917516	0.6231483642489289	0.4	
Outgoing message to Client is : 45.96037925760519	0.7639893604935041	0.5	

Incoming message from Client is : 45.96037925760519	0.7639893604935041	0.5	
Outgoing message to Client is : 41.58082241401185	0.8940158838201661	0.6	

Incoming message from Client is : 41.58082241401185	0.8940158838201661	0.6	
Outgoing message to Client is : 36.455890595934456	1.0104289634157586	0.7	

Incoming message from Client is : 36.455890595934456	1.0104289634157586	0.7	
Outgoing message to Client is : 30.663622652786795	1.110342608302346	0.7999999999999999	

Incoming message from Client is : 30.663622652786795	1.110342608302346	0.7999999999999999	
Outgoing message to Client is : 24.29860133130838	1.1909566537567413	0.8999999999999999	

Incoming message from Client is : 24.29860133130838	1.1909566537567413	0.8999999999999999	
Outgoing message to Client is : 17.471461277925787	1.24977297275734	0.9999999999999999	

Incoming message from Client is : 17.471461277925787	1.24977297275734	0.9999999999999999	
Outgoing message to Client is : 10.307157612437852	1.2848247105548531	1.0999999999999999	

Incoming message from Client is : 10.307157612437852	1.2848247105548531	1.0999999999999999	
Outgoing message to Client is : 2.941920418174362	1.2948790485366493	1.2	

Incoming message from Client is : 2.941920418174362	1.2948790485366493	1.2	
Outgoing message to Client is : -4.480953108468851	1.279573769466892	1.3	

Incoming message from Client is : -4.480953108468851	1.279573769466892	1.3	
Outgoing message to Client is : -11.816089366559314	1.2394587265046986	1.4000000000000001	

Incoming message from Client is : -11.816089366559314	1.2394587265046986	1.4000000000000001	
Outgoing message to Client is : -18.921266779643574	1.1759331303556768	1.5000000000000002	

Incoming message from Client is : -18.921266779643574	1.1759331303556768	1.5000000000000002	
Outgoing message to Client is : -25.662284724357644	1.0910923399726178	1.6000000000000003	

Incoming message from Client is : -25.662284724357644	1.0910923399726178	1.6000000000000003	
Outgoing message to Client is : -31.916954189168827	0.987516179531039	1.7000000000000004	

Incoming message from Client is : -31.916954189168827	0.987516179531039	1.7000000000000004	
Outgoing message to Client is : -37.577874963550585	0.8680393560255679	1.8000000000000005	

Incoming message from Client is : -37.577874963550585	0.8680393560255679	1.8000000000000005	
Outgoing message to Client is : -42.55389674968441	0.7355421723314096	1.9000000000000006	

Incoming message from Client is : -42.55389674968441	0.7355421723314096	1.9000000000000006	
